PassengerId,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
1,3,22.0,1,0,7.25,0,1,0,0,1
2,1,38.0,1,0,71.2833,1,0,1,0,0
3,3,26.0,0,0,7.925,1,0,0,0,1
4,1,35.0,1,0,53.1,1,0,0,0,1
5,3,35.0,0,0,8.05,0,1,0,0,1
6,3,29.69911764705882,0,0,8.4583,0,1,0,1,0
7,1,54.0,0,0,51.8625,0,1,0,0,1
8,3,2.0,3,1,21.075,0,1,0,0,1
9,3,27.0,0,2,11.1333,1,0,0,0,1
10,2,14.0,1,0,30.0708,1,0,1,0,0
11,3,4.0,1,1,16.7,1,0,0,0,1
12,1,58.0,0,0,26.55,1,0,0,0,1
13,3,20.0,0,0,8.05,0,1,0,0,1
14,3,39.0,1,5,31.275,0,1,0,0,1
15,3,14.0,0,0,7.8542,1,0,0,0,1
16,2,55.0,0,0,16.0,1,0,0,0,1
17,3,2.0,4,1,29.125,0,1,0,1,0
18,2,29.69911764705882,0,0,13.0,0,1,0,0,1
19,3,31.0,1,0,18.0,1,0,0,0,1
20,3,29.69911764705882,0,0,7.225,1,0,1,0,0
21,2,35.0,0,0,26.0,0,1,0,0,1
22,2,34.0,0,0,13.0,0,1,0,0,1
23,3,15.0,0,0,8.0292,1,0,0,1,0
24,1,28.0,0,0,35.5,0,1,0,0,1
25,3,8.0,3,1,21.075,1,0,0,0,1
26,3,38.0,1,5,31.3875,1,0,0,0,1
27,3,29.69911764705882,0,0,7.225,0,1,1,0,0
28,1,19.0,3,2,263.0,0,1,0,0,1
29,3,29.69911764705882,0,0,7.8792,1,0,0,1,0
30,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
31,1,40.0,0,0,27.7208,0,1,1,0,0
32,1,29.69911764705882,1,0,146.5208,1,0,1,0,0
33,3,29.69911764705882,0,0,7.75,1,0,0,1,0
34,2,66.0,0,0,10.5,0,1,0,0,1
35,1,28.0,1,0,82.1708,0,1,1,0,0
36,1,42.0,1,0,52.0,0,1,0,0,1
37,3,29.69911764705882,0,0,7.2292,0,1,1,0,0
38,3,21.0,0,0,8.05,0,1,0,0,1
39,3,18.0,2,0,18.0,1,0,0,0,1
40,3,14.0,1,0,11.2417,1,0,1,0,0
